question,correct_answer,wrong_answer_1,wrong_answer_2, wrong_answer_3,explanation
What is the name of Raoul's family and their land holdings?,Naxen,Golden Lake,Goldenlake,Malorie's Peak,Naxen is the home fief of one of Raoul's friends
Who was called "Raoul's shy blonde shadow" in "Alanna: the First Adventure"?,Fancis of Nond,Geoffery of Meron,Douglass of Wellam,Sacherall of Veldine,Francis was a very minor character within "Alanna: the First Adventure" (he was part of the group of friends that Alanna belonged to). Francis seemed to be closest to Raoul out of the group though. He died of the Sweating Sickness when it struck the Palace.
In "In The Hand of the Goddess" who is Raoul's Squire?,both of them,Douglass of Veldine,Sacherall of Wellam,neither,There is a bit of confusion in the world of Tammy-verse as to who Raoul and Gary's squire are "In the Hand of Goddess" as Douglass of Veldine and Sacherall of Wellam seem to switch knight-masters.
Which of these descriptions fit Raoul?,Currly black hair - solidly built - tall - black eyes,Straight black hair - thin - average height - dark brown eyes,Straight brown hair - solidly built - tall - black eyes,Curly brown hair - thin - average height - dark brown eyes,Raoul is described as having tightly curling black hair - black eyes - and being "decidedly large".
Who sent Raoul to The Roof Of The World to fetch Alanna back from her adventure in "Lioness Rampant"?,Jonanthan,King Roald,Duke Gareth,George,It was Jonathan who was "king-in-waiting" after his father's death. Raoul was the Jon sent and it was then he first met Liam Thayet and Buri.
Which Bazhir tribe 'adopted' Raoul into their tribe?,Sandrunner,Bloody Hawk,Flying Winds,Sunset Dragon,In "Lioness Rampant" Raoul mentions that he was adopted by the Bazhir -- but says that it was the Sandrunners -- not Alanna and Coram's tribe -- the Bloody Hawk.
Who did Raoul formally arrest in "Wolf Speaker"?,Yolane,Belden,Tristan,Gissa,It was Yolane. She committed high treason to the crown. (With Carthak's help) She tried to put herself on the throne.
By the Start of the "Protector of the Small" Quartet -- What changes has Raoul made to the Own?,All of these,Added the second and third Comapanies,Allowing Bazhir in,Made it into an effective combat unit,Raoul did all of this. When he first came to the post of Knight Commander -- the Own was a cosy assignment for young men who liked to meet pretty young ladies with dowries. He first made them into a combat unit. Then he let Bazhir into the Own. Then he expanded into the second and third companies.
Raoul was elevated to the peerage and given the lands of Malorie's Peek after defeating a giant that was how many feet tall?,20 feet,26 feet,30 feet,29 feet,In "First Test" -- Neal tells Kel that "It was only a 20 foot giant" that Raoul had killed.
By "First Test" -- what is Raoul's full title? (watch the spelling!),Raoul of Golden Lake and Mallory's Peak,Raoul of Malorie's Peak,Raoul of Pirate's Swoop,Roaul of Goldenlake and Malorie's Peak,Goldenlake is Raoul's family and Malorie's Peak is the lands that Raoul received when he was elevated to the Peerage. Pirate's Swoop is the lands that George Copper got when he became a Baron.
Who accused Raoul of taking Kel as his squire "Only because the Lioness asked you to" in "Squire"?,Flyndan,Lerant,Quasim,Wyldon,Captain Flyndan of the Third Company was the one who voiced this accusation.
Raoul won't touch which kind of drink?,alcohol,coffee,water,cider,As Raoul had a drinking problem in his younger years -- he avoids alcohol and spirits now.
Where did Kel suggest Raoul should hid at the Midwinter party in "Squire"?,behind the wall hangings,behind the curtains,the small book room nearby,in the garden,Behind the wall hangings -- Kel told Buri they would see the lump behind the hangings if he was actually within the room.
What is the Knight Commander of the King's Own well known for?,Avoiding social functions,All of these,Beating Wyldon of Cavall at jousting,Not drinking alcohol,The answer is avoiding social functions.Raoul hates pretending to be nice to people he doesn't like. And Raoul has never beaten Wyldon at jousting. The fact that Raoul never drank alcohol is known by very few people.
What did Third Company name the fort that they built in "Squire" -- supposedly in honor of Raoul?,Giantkiller,Mastiff,Steadfast,Northwatch,It was the Giantkiller -- but knowing that Raoul would complain and protest at the name -- Third company waited until he and Kel had gone back south for her ordeal before they named it.
What did Raoul say to Wyldon when he heard that Kel had gone after the Haven refugees in "Lady Knight"?,All of these,"If she dies -- Mithros forgive you. I never will.","I'd've wrapped her in chains and brought her back over her horse.","I thought you knew her.",All of these
Which squad does Raoul ask to follow Kel and help her after he finds out Kel has gone after the refugees?,Dom's squad,Lerant's squad,Quasim's squad,Flyndan's squad,Raoul asked Dom and his squad to go -- allowing them the opportunity to back out if they wanted to.
When and where did Raoul and Buri get married?,September -- 460 HE -- Steadfast,September -- 461 HE -- Goldenlake,September -- 460 HE -- Northwatch,October -- 461 HE -- Corus,In the Epilogue of "Lady Knight" (dated the Tenth of September -- 460 HE) Kel and Neal are leaving Haven to go to Steadfast for the wedding celebrations. Buri had gotten tired of waiting for Raoul to come back south at the end of the fighting -- so after the Royal wedding of Roald and Shinkokami -- Buri (and Yuki) headed up to Steadfast.
Who does Raoul take on as his squire around the time of "Trickster's Queen"?,Alan of Pirate's Swoop,Lachran of Mindelan,Liam of Conte,Thom of Pirate's Swoop,In "Trickster's Queen" -- Tkaa visits the Court of the Copper Isles -- there he gives Aly all the news from home. That news includes the fact that her older brother -- Thom is continuing with his mage studies -- and her twin brother -- Alan is squired to Raoul.
What event is particular did Raoul let his new squire go to the Copper Isles for?,His sister's wedding,The coronation of the new Queen,The coronation of the new King,He was sent to spy on people,Alan went to the Copper Isles to attend his twin sister's (Aly) wedding.
In "Alanna: The First Adventure" - What did Alanna see in Maude's fire?,A black city,A black field,A black village,A black town,She saw the black city of the Ysandir.She was afraid of that she saw.
In "The Hand Of The Goddess" - Why did George kiss Alanna?,She had her hands full,She cuddled up to him,It was a bet,She was hurt,Alanna was holding all of Jon's birthday presents.
In "The Women Who Rides Like A Man" - What weapon did Alanna use while fighting Hakim Fahrah?,Dagger,Spear,Sword,Glaive,They were allowed daggers -- but really they were wrestling.
In "Lioness Rampant" - Where did Alanna have to go to get the Dominion Jewel?,The Roof of the World,Sarain,Nowhere -- she just did a spell,The Realm of the Black God,She had to travel through Sarain to get there. At the roof of the world -- she went through Chitral Pass.
